"last_name, first_name","player_id","year","player_age","ab","pa","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","r_total_caught_stealing","r_total_stolen_base","b_hit_by_pitch","b_intent_walk","b_sac_fly","woba","sprint_speed"
"Brown, Seth",664913,2021,28,281,307,26,13,1,20,89,23,29,7.5,".214",".480",".274","0.754","0.266",".230","1","4","1","2","2",".315","28.1"
"Larnach, Trevor",663616,2021,24,260,301,39,12,0,7,104,31,34.6,10.3,".223",".350",".322","0.672","0.127",".338","0","1","8","0","2",".300","26.5"
"Cain, Lorenzo",456715,2021,35,257,286,45,13,0,8,48,26,16.8,9.1,".257",".401",".329","0.730","0.144",".287","2","13","2","0","1",".319","28.7"
"Bradley Jr., Jackie",598265,2021,31,387,428,40,14,3,6,132,28,30.8,6.5,".163",".261",".236","0.497","0.098",".226","1","7","10","0","3",".224","27.2"
"Arroyo, Christian",624414,2021,26,164,181,25,12,0,6,44,8,24.3,4.4,".262",".445",".324","0.769","0.183",".325","0","1","7","0","0",".332","28.0"
"Rivero, Sebastián ",665861,2021,22,40,44,5,2,0,0,15,3,34.1,6.8,".175",".225",".250","0.475","0.050",".280","0","0","1","0","0",".220","24.8"
"Solak, Nick",669256,2021,26,458,511,80,18,2,11,107,34,20.9,6.7,".242",".362",".314","0.676","0.120",".292","5","7","15","0","2",".299","29.0"
"McKinney, Billy",641856,2021,26,265,300,28,11,3,9,79,32,26.3,10.7,".192",".358",".280","0.638","0.166",".235","0","2","1","2","2",".277","27.6"
"Wolters, Tony",547172,2021,29,24,30,3,0,0,0,12,5,40,16.7,".125",".125",".276","0.401","0.000",".250","1","0","0","0","0",".210","25.3"
"LeMahieu, DJ",518934,2021,32,597,679,125,24,1,10,94,73,13.8,10.8,".268",".362",".349","0.711","0.094",".301","2","4","4","2","5",".315","26.6"
"Perdomo, Geraldo",672695,2021,21,31,37,4,3,1,0,6,6,16.2,16.2,".258",".419",".378","0.797","0.161",".320","0","0","0","2","0",".331","27.3"
"Lopes, Tim",621005,2021,27,10,11,1,0,0,0,4,1,36.4,9.1,".100",".100",".182","0.282","0.000",".167","1","0","0","0","0",".143",
"Bregman, Alex",608324,2021,27,348,400,65,17,0,12,53,44,13.3,11,".270",".422",".355","0.777","0.152",".286","0","1","4","4","4",".336","25.6"
"Wynns, Austin",642851,2021,30,130,139,16,4,0,4,31,8,22.3,5.8,".185",".308",".232","0.540","0.123",".211","0","1","0","0","0",".236","25.1"
"Brantley Jr., Michael",488726,2021,34,469,508,106,29,3,8,53,33,10.4,6.5,".311",".437",".362","0.799","0.126",".337","0","1","5","1","1",".347","25.7"
"Difo, Wilmer",594694,2021,29,219,240,45,7,3,4,54,20,22.5,8.3,".269",".384",".329","0.713","0.115",".340","0","1","0","0","1",".312","28.5"
"Pérez, Michael",605421,2021,28,210,231,14,8,1,7,68,19,29.4,8.2,".143",".290",".221","0.511","0.147",".170","1","0","2","1","0",".225","25.2"
"Smyly, Drew",592767,2021,32,41,43,3,0,0,0,19,0,44.2,0,".073",".073",".073","0.146","0.000",".136","0","0","0","0","0",".064","23.1"
"Sánchez, Gary",596142,2021,28,383,440,41,13,1,23,121,52,27.5,11.8,".204",".423",".307","0.730","0.219",".230","0","0","5","3","0",".314","25.5"
"Holaday, Bryan",592407,2021,33,31,34,4,2,0,0,15,1,44.1,2.9,".194",".258",".265","0.523","0.064",".375","0","0","2","0","0",".239","24.7"
"Vogelbach, Daniel",596129,2021,28,215,258,30,8,0,9,57,43,22.1,16.7,".219",".381",".349","0.730","0.162",".255","0","0","0","1","0",".325","24.4"
"Cooper, Garrett",643265,2021,30,215,250,41,10,1,9,68,30,27.2,12,".284",".465",".380","0.845","0.181",".374","1","1","4","0","1",".367","26.2"
"Lowe, Brandon",664040,2021,26,535,615,62,31,0,39,167,68,27.2,11.1,".247",".523",".340","0.863","0.276",".280","1","7","9","4","3",".363","27.6"
"Weaver, Luke",596133,2021,27,19,22,2,0,0,0,12,1,54.5,4.5,".105",".105",".150","0.255","0.000",".286","0","0","0","0","0",".122",
"Mayfield, Jack",608686,2021,30,266,290,33,15,0,10,68,17,23.4,5.9,".218",".387",".272","0.659","0.169",".254","0","5","3","0","1",".284","27.2"
"González, Luis",670768,2021,25,8,11,0,2,0,0,2,3,18.2,27.3,".250",".500",".455","0.955","0.250",".333","0","0","0","0","0",".414",
"Torreyes, Ronald",591720,2021,28,318,344,59,10,1,7,41,19,11.9,5.5,".242",".346",".286","0.632","0.104",".258","1","2","1","2","1",".274","26.9"
"Vázquez, Christian",543877,2021,30,458,498,88,23,1,6,84,33,16.9,6.6,".258",".352",".308","0.660","0.094",".301","4","8","2","0","4",".289","25.2"
"Newman, Kevin",621028,2021,27,517,554,87,22,3,5,41,27,7.4,4.9,".226",".309",".265","0.574","0.083",".236","1","6","1","3","3",".249","28.4"
"Suzuki, Kurt",435559,2021,37,219,247,35,8,0,6,44,12,17.8,4.9,".224",".342",".294","0.636","0.118",".250","0","0","11","0","3",".282","24.6"
"Santana, Danny",542454,2021,30,116,127,13,2,1,5,30,10,23.6,7.9,".181",".345",".252","0.597","0.164",".198","2","4","1","0","0",".261","27.9"
"Evans, Phillip",595943,2021,28,214,247,34,5,0,5,53,28,21.5,11.3,".206",".299",".312","0.611","0.093",".250","0","1","5","1","0",".278","27.6"
"Martini, Nick",605361,2021,31,37,45,9,1,0,0,10,6,22.2,13.3,".270",".297",".356","0.653","0.027",".345","1","0","0","1","2",".287","26.1"
"Rengifo, Luis",650859,2021,24,174,190,28,1,0,6,38,9,20,4.7,".201",".310",".246","0.556","0.109",".220","0","1","2","0","2",".244","28.1"
"Sierra, Magneuris",642423,2021,25,209,225,41,6,1,0,50,15,22.2,6.7,".230",".268",".281","0.549","0.038",".302","0","11","0","4","0",".239","28.8"
"Goodrum, Niko",592348,2021,29,290,325,40,11,2,9,107,29,32.9,8.9,".214",".359",".292","0.651","0.145",".301","5","14","4","0","2",".286","28.5"
"Williams, Luke",663897,2021,24,98,108,19,4,0,1,23,10,21.3,9.3,".245",".316",".315","0.631","0.071",".311","2","2","0","0","0",".283","28.9"
"Miller, Brian",675649,2021,25,11,11,3,0,0,0,3,0,27.3,0,".273",".273",".273","0.546","0.000",".375","0","0","0","0","0",".240",
"Davis, J.D.",605204,2021,28,179,211,34,12,0,5,68,24,32.2,11.4,".285",".436",".384","0.820","0.151",".426","0","1","6","1","2",".357","26.9"
"Reyes, Victor",622682,2021,26,209,220,35,10,4,5,55,8,25,3.6,".258",".416",".284","0.700","0.158",".327","1","5","0","0","1",".298","28.8"
"Winker, Jesse",608385,2021,27,423,485,72,32,1,24,75,53,15.5,10.9,".305",".556",".394","0.950","0.251",".324","0","1","9","1","0",".403","25.8"
"Tromp, Chadwick",644433,2021,26,18,18,3,0,0,1,4,0,22.2,0,".222",".389",".222","0.611","0.167",".231","0","0","0","0","0",".258",
"Moustakas, Mike",519058,2021,32,183,206,20,12,0,6,46,18,22.3,8.7,".208",".372",".282","0.654","0.164",".239","0","0","2","0","3",".284","25.3"
"Hill, Derek",656537,2021,25,139,150,27,3,3,3,42,10,28,6.7,".259",".388",".313","0.701","0.129",".351","3","6","1","0","0",".305","30.4"
"Friedl Jr., TJ",670770,2021,25,31,36,7,1,0,1,2,4,5.6,11.1,".290",".419",".361","0.780","0.129",".276","0","0","0","0","1",".338","27.4"
"Fletcher, David",664058,2021,27,626,665,132,27,3,2,60,31,9,4.7,".262",".324",".297","0.621","0.062",".287","3","15","1","1","1",".273","27.6"
"Rivas III, Alfonso",663845,2021,24,44,49,12,1,0,1,16,4,32.7,8.2,".318",".409",".388","0.797","0.091",".481","0","0","1","0","0",".353","26.6"
"Lamb, Jake",571875,2021,30,144,170,17,4,0,7,51,22,30,12.9,".194",".368",".306","0.674","0.174",".239","0","0","2","0","2",".298","26.1"
"Ramos, Henry",592656,2021,29,50,55,7,2,0,1,12,4,21.8,7.3,".200",".300",".255","0.555","0.100",".237","0","0","0","0","1",".244","26.4"
"Muller, Kyle",666205,2021,23,11,13,1,0,0,0,7,1,53.8,7.7,".091",".091",".167","0.258","0.000",".250","0","0","0","0","0",".131",
"Santander, Anthony",623993,2021,26,406,438,56,24,0,18,101,23,23.1,5.3,".241",".433",".286","0.719","0.192",".275","1","1","4","0","4",".307","26.2"
"Realmuto, J.T.",592663,2021,30,476,537,79,25,4,17,129,48,24,8.9,".263",".439",".343","0.782","0.176",".325","3","13","11","5","2",".336","28.8"
"Hedges, Austin",595978,2021,28,286,312,34,7,0,10,87,15,27.9,4.8,".178",".308",".220","0.528","0.130",".214","0","1","1","1","3",".227","24.5"
"Miley, Wade",489119,2021,34,54,59,7,3,0,0,13,3,22,5.1,".185",".241",".228","0.469","0.056",".244","0","0","0","0","0",".210","23.8"
"Berti, Jon",542932,2021,31,233,271,34,10,1,4,61,32,22.5,11.8,".210",".313",".311","0.624","0.103",".265","4","8","3","0","2",".282","29.9"
"Godoy, José",608422,2021,26,37,40,5,1,0,0,14,3,35,7.5,".162",".189",".225","0.414","0.027",".261","0","0","0","0","0",".193","25.7"
"Duvall, Adam",594807,2021,32,513,555,60,17,2,38,174,35,31.4,6.3,".228",".491",".281","0.772","0.263",".260","0","5","4","1","3",".324","28.5"
"Stallings, Jacob",607732,2021,31,374,427,63,20,1,8,85,49,19.9,11.5,".246",".369",".335","0.704","0.123",".297","0","0","2","0","2",".312","24.2"
"Jackson, Alex",656577,2021,25,131,151,11,4,0,3,73,13,48.3,8.6,".137",".237",".252","0.489","0.100",".273","0","0","7","1","0",".227","26.9"
"Kelly, Merrill",518876,2021,32,47,58,2,1,0,0,27,4,46.6,6.9,".064",".085",".137","0.222","0.021",".150","0","0","0","0","0",".113","23.6"
"Panik, Joe",605412,2021,30,236,257,37,9,0,3,34,17,13.2,6.6,".208",".284",".266","0.550","0.076",".230","0","2","2","1","1",".244","26.2"
"Jeffers, Ryan",680777,2021,24,267,293,28,10,1,14,108,22,36.9,7.5,".199",".401",".270","0.671","0.202",".269","1","0","4","0","0",".289","25.8"
"Mercado, Óscar",640458,2021,26,214,238,30,11,1,6,42,21,17.6,8.8,".224",".369",".300","0.669","0.145",".253","1","7","2","0","0",".294","28.9"
"Barnhart, Tucker",571466,2021,30,348,388,58,21,0,7,100,29,25.8,7.5,".247",".368",".317","0.685","0.121",".324","0","0","8","1","3",".300","24.4"
"Trout, Mike",545361,2021,29,117,146,22,8,1,8,41,27,28.1,18.5,".333",".624",".466","1.090","0.291",".456","0","2","2","5","0",".451","29.2"
"Houser, Adrian",605288,2021,28,42,46,1,0,0,2,30,2,65.2,4.3,".071",".214",".114","0.328","0.143",".100","0","0","0","0","0",".143",
"Vaughn, Andrew",683734,2021,23,417,469,61,22,0,15,101,41,21.5,8.7,".235",".396",".309","0.705","0.161",".271","1","1","6","0","5",".306","26.4"
"Machín, Vimael",605353,2021,27,32,37,4,0,0,0,10,3,27,8.1,".125",".125",".200","0.325","0.000",".182","0","0","0","0","0",".160","26.5"
"Nola, Aaron",605400,2021,28,49,63,5,2,0,0,29,6,46,9.5,".143",".184",".232","0.416","0.041",".333","0","0","0","0","1",".197","24.4"
"Verdugo, Alex",657077,2021,25,544,604,110,32,2,13,96,51,15.9,8.4,".289",".426",".351","0.777","0.137",".327","2","6","4","6","5",".334","27.0"
"Nogowski Jr., John",596056,2021,28,129,143,22,7,0,1,22,12,15.4,8.4,".233",".310",".301","0.611","0.077",".271","1","0","1","0","1",".273","25.1"
"Peraza, José",606299,2021,27,142,154,16,7,0,6,26,9,16.9,5.8,".204",".380",".266","0.646","0.176",".209","0","1","3","0","0",".280","27.6"
"Eflin, Zach",621107,2021,27,29,37,0,0,0,0,15,1,40.5,2.7,".000",".000",".065","0.065","0.000",".000","0","0","1","0","0",".046","22.6"
"González, Erik",570481,2021,29,220,229,41,7,1,2,40,8,17.5,3.5,".232",".300",".258","0.558","0.068",".274","2","2","0","0","1",".244","27.4"
"Soler, Jorge",624585,2021,29,516,602,61,27,0,27,142,67,23.6,11.1,".223",".432",".316","0.748","0.209",".250","0","0","6","0","5",".323","26.9"
"Almora Jr., Albert",546991,2021,27,52,54,3,3,0,0,17,2,31.5,3.7,".115",".173",".148","0.321","0.058",".171","0","0","0","0","0",".143","27.8"
"Steele, Justin",657006,2021,25,13,13,2,0,0,0,4,0,30.8,0,".154",".154",".154","0.308","0.000",".222","0","0","0","0","0",".135",
"Slater, Austin",596103,2021,28,274,306,41,12,1,12,84,28,27.5,9.2,".241",".423",".320","0.743","0.182",".303","2","15","4","2","0",".321","28.4"
"Wilson, Jacob",607111,2021,30,20,21,1,1,1,0,3,1,14.3,4.8,".150",".300",".190","0.490","0.150",".176","0","0","0","0","0",".209","25.7"
"Fuentes, Joshua",658069,2021,28,271,284,42,11,1,7,65,12,22.9,4.2,".225",".351",".257","0.608","0.126",".270","0","0","0","1","1",".261","27.6"
"Nootbaar, Lars",663457,2021,23,109,124,17,3,1,5,28,13,22.6,10.5,".239",".422",".317","0.739","0.183",".273","1","2","0","1","1",".316","28.4"
"Kieboom, Carter",666198,2021,23,217,249,33,6,0,6,62,25,24.9,10,".207",".318",".301","0.619","0.111",".258","0","0","5","2","2",".275","27.3"
"Sisco, Chance",642082,2021,26,74,83,8,3,0,0,21,7,25.3,8.4,".149",".189",".241","0.430","0.040",".208","0","0","2","0","0",".205","24.9"
"Benintendi, Andrew",643217,2021,26,493,538,90,27,2,17,97,36,18,6.7,".276",".442",".324","0.766","0.166",".309","9","8","2","0","6",".328","27.6"
"DeSclafani, Anthony",543101,2021,31,51,62,1,1,0,0,33,4,53.2,6.5,".039",".059",".109","0.168","0.020",".111","0","0","0","0","0",".089","22.8"
"Romine, Andrew",461865,2021,35,60,64,8,2,0,1,24,4,37.5,6.3,".183",".267",".234","0.501","0.084",".286","1","0","0","0","0",".223","27.5"
"Davis, Khris",501981,2021,33,102,114,12,5,1,3,31,10,27.2,8.8,".206",".363",".272","0.635","0.157",".257","0","0","0","0","2",".274","25.6"
"Hicks, Aaron",543305,2021,31,108,126,14,3,0,4,30,14,23.8,11.1,".194",".333",".294","0.627","0.139",".224","0","0","2","0","2",".279","26.7"
"Varsho, Daulton",662139,2021,24,284,315,40,17,2,11,67,30,21.3,9.5,".246",".437",".318","0.755","0.191",".286","0","6","0","3","0",".322","28.4"
"Nuñez, Dom",624513,2021,26,228,263,18,12,3,10,91,34,34.6,12.9,".189",".399",".293","0.692","0.210",".258","0","0","0","4","1",".294","25.3"
"Arraez, Luis",650333,2021,24,428,479,101,17,6,2,48,43,10,9,".294",".376",".357","0.733","0.082",".323","2","2","2","2","6",".321","26.8"
"Peters, DJ",656847,2021,25,223,240,21,9,1,13,82,12,34.2,5,".197",".422",".242","0.664","0.225",".237","0","2","2","4","3",".272","28.9"
"Castro, Starlin",516770,2021,31,315,346,66,20,0,3,62,26,17.9,7.5,".283",".375",".333","0.708","0.092",".339","1","0","0","1","4",".309","26.2"
"Aguilar, Jesús",542583,2021,31,449,510,72,23,0,22,93,46,18.2,9,".261",".459",".329","0.788","0.198",".279","0","0","3","4","7",".334","24.4"
"Araúz, Jonathan",660620,2021,22,65,75,6,3,0,3,15,8,20,10.7,".185",".369",".274","0.643","0.184",".191","0","0","0","0","0",".282","27.0"
"Fairchild, Stuart",656413,2021,25,15,17,1,1,0,0,3,1,17.6,5.9,".133",".200",".235","0.435","0.067",".167","0","0","1","0","0",".208","28.9"
"White, Evan",657108,2021,25,97,104,9,3,0,2,31,6,29.8,5.8,".144",".237",".202","0.439","0.093",".188","0","0","1","0","0",".197","27.9"
"Robles, Victor",645302,2021,24,315,369,40,21,1,2,85,33,23,8.9,".203",".295",".310","0.605","0.092",".271","6","8","16","3","1",".274","28.3"
"Hendricks, Kyle",543294,2021,31,52,61,5,1,0,0,26,2,42.6,3.3,".115",".135",".148","0.283","0.020",".231","0","0","0","0","0",".130","22.1"
"Urías, Julio",628711,2021,24,59,70,10,2,0,0,22,0,31.4,0,".203",".237",".217","0.454","0.034",".324","0","0","1","0","0",".200","22.3"
"Rodgers, Brendan",663898,2021,24,387,415,71,21,3,15,84,19,20.2,4.6,".284",".470",".328","0.798","0.186",".328","0","0","7","0","2",".341","26.8"
"Upton, Justin",457708,2021,33,318,362,38,12,0,17,107,39,29.6,10.8,".211",".409",".296","0.705","0.198",".254","1","4","1","0","3",".305","27.4"
"Schwarber, Kyle",656941,2021,28,399,471,55,19,0,32,127,64,27,13.6,".266",".554",".374","0.928","0.288",".306","1","1","6","1","2",".392","26.8"
