"last_name, first_name","player_id","year","player_age","ab","pa","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","r_total_caught_stealing","r_total_stolen_base","b_hit_by_pitch","b_intent_walk","b_sac_fly","woba","sprint_speed"
"Betts, Mookie",605141,2022,29,572,639,76,40,3,35,104,55,16.3,8.6,".269",".533",".340","0.873","0.264",".272","2","12","8","0","4",".373","27.4"
"Andujar, Miguel",609280,2022,27,132,140,24,5,1,1,27,5,19.3,3.6,".235",".311",".257","0.568","0.076",".280","1","4","0","0","3",".247","27.4"
"Soto, Livan",670869,2022,22,55,59,15,5,1,1,13,2,22,3.4,".400",".582",".414","0.996","0.182",".500","1","1","0","0","1",".424","27.5"
"Toro, Abraham",647351,2022,25,324,352,36,13,1,10,65,22,18.5,6.3,".185",".324",".239","0.563","0.139",".198","0","2","2","1","4",".246","28.0"
"Perdomo, Geraldo",672695,2022,22,431,500,67,10,2,5,103,50,20.6,10,".195",".262",".285","0.547","0.067",".243","2","9","5","0","2",".253","27.3"
"Maldonado, Martín",455117,2022,35,344,379,37,12,0,15,116,22,30.6,5.8,".186",".352",".248","0.600","0.166",".228","0","0","7","0","2",".264","22.6"
"Pratto, Nick",668472,2022,23,158,182,12,9,1,7,66,19,36.3,10.4,".184",".386",".271","0.657","0.202",".250","0","0","1","0","3",".287","27.2"
"Neuse, Sheldon",641914,2022,27,271,293,48,4,2,4,80,20,27.3,6.8,".214",".288",".273","0.561","0.074",".289","1","6","2","0","0",".253","26.4"
"Cave, Jake",595909,2022,29,164,177,20,7,3,5,49,11,27.7,6.2,".213",".384",".260","0.644","0.171",".268","0","2","0","0","2",".278","28.0"
"Adell, Jo",666176,2022,23,268,285,38,12,2,8,107,11,37.5,3.9,".224",".373",".264","0.637","0.149",".338","2","4","4","0","1",".278","29.7"
"Kepler, Max",596146,2022,29,388,446,60,18,1,9,66,49,14.8,11,".227",".348",".318","0.666","0.121",".249","2","3","5","1","4",".298","27.8"
"McNeil, Jeff",643446,2022,30,533,589,125,39,1,9,61,40,10.4,6.8,".326",".454",".382","0.836","0.128",".353","0","4","11","1","5",".365","27.4"
"Fraley, Jake",641584,2022,27,216,247,35,9,0,12,54,26,21.9,10.5,".259",".468",".344","0.812","0.209",".289","1","4","3","1","2",".352","27.9"
"Stowers, Kyle",669065,2022,24,91,98,15,4,1,3,29,5,29.6,5.1,".253",".418",".306","0.724","0.165",".339","0","0","2","0","0",".316","27.0"
"Nevin, Tyler",663527,2022,25,157,184,25,4,0,2,46,20,25,10.9,".197",".261",".299","0.560","0.064",".259","0","0","4","0","3",".261","25.7"
"Thomas, Dillon",605504,2022,29,11,14,1,0,0,0,6,2,42.9,14.3,".091",".091",".286","0.377","0.000",".200","0","0","1","0","0",".213","24.7"
"Huff, Sam",669087,2022,24,121,132,21,4,0,4,42,11,31.8,8.3,".240",".372",".303","0.675","0.132",".333","0","1","0","1","0",".296","27.0"
"Marte, Starling",516782,2022,33,466,505,91,24,5,16,97,26,19.2,5.1,".292",".468",".347","0.815","0.176",".340","9","18","13","0","0",".355","28.0"
"Lee, Korey",686676,2022,23,25,26,2,2,0,0,9,1,34.6,3.8,".160",".240",".192","0.432","0.080",".250","0","0","0","0","0",".192","28.1"
"Carlson, Dylan",666185,2022,23,432,488,60,30,4,8,94,45,19.3,9.2,".236",".380",".316","0.696","0.144",".281","2","5","7","1","4",".306","28.1"
"Adames, Willy",642715,2022,26,563,617,72,31,0,31,166,49,26.9,7.9,".238",".458",".298","0.756","0.220",".278","3","8","1","3","4",".325","27.8"
"Meadows, Austin",640457,2022,27,128,147,24,6,2,0,17,16,11.6,10.9,".250",".328",".347","0.675","0.078",".288","1","0","3","0","0",".307","27.2"
"Outman, James",681546,2022,25,13,16,3,2,0,1,7,2,43.8,12.5,".462",".846",".563","1.409","0.384","1.000","0","0","1","0","0",".584","27.7"
"Myers, Wil",571976,2022,31,261,286,46,15,0,7,86,21,30.1,7.3,".261",".398",".315","0.713","0.137",".357","1","2","1","1","3",".311","28.2"
"Kennedy, Buddy",671083,2022,23,83,94,13,2,2,1,23,8,24.5,8.5,".217",".325",".287","0.612","0.108",".279","0","0","1","0","2",".271","29.4"
"Yelich, Christian",592885,2022,30,575,671,102,25,4,14,162,88,24.1,13.1,".252",".383",".355","0.738","0.131",".327","3","19","5","5","2",".328","28.1"
"Adrianza, Ehire",501303,2022,32,97,110,14,3,0,0,25,11,22.7,10,".175",".206",".264","0.470","0.031",".233","0","1","1","0","1",".222","26.4"
"Massey, Michael",686681,2022,24,173,194,28,9,1,4,46,9,23.7,4.6,".243",".376",".307","0.683","0.133",".304","0","3","8","0","2",".302","27.1"
"White, Eli",642201,2022,28,105,117,16,2,0,3,41,11,35,9.4,".200",".305",".274","0.579","0.105",".290","1","12","0","0","1",".260","30.0"
"Reyes, Franmil",614177,2022,26,438,473,64,17,2,14,157,30,33.2,6.3,".221",".365",".273","0.638","0.144",".307","1","2","2","0","3",".280","26.0"
"Cabrera, Oswaldo",665828,2022,23,154,171,23,8,1,6,44,15,25.7,8.8,".247",".429",".312","0.741","0.182",".305","2","3","0","0","1",".322","27.6"
"Larnach, Trevor",663616,2022,25,160,180,19,13,0,5,57,18,31.7,10,".231",".406",".306","0.712","0.175",".320","0","0","0","1","2",".309","27.0"
"O'Hearn, Ryan",656811,2022,28,134,145,24,6,1,1,35,8,24.1,5.5,".239",".321",".290","0.611","0.082",".313","0","0","2","0","1",".272","27.2"
"Arias, Gabriel",672356,2022,22,47,57,6,1,1,1,16,8,28.1,14,".191",".319",".321","0.640","0.128",".267","0","1","1","0","0",".294","28.0"
"Hernández, Teoscar",606192,2022,29,499,535,72,35,1,25,152,34,28.4,6.4,".267",".491",".316","0.807","0.224",".335","3","6","2","0","0",".348","28.6"
"Encarnacion, Jerar",666464,2022,24,77,81,8,3,0,3,32,3,39.5,3.7,".182",".338",".210","0.548","0.156",".256","0","2","0","0","1",".236","27.7"
"Steer, Spencer",668715,2022,24,95,108,13,5,0,2,26,11,24.1,10.2,".211",".326",".306","0.632","0.115",".269","1","0","2","0","0",".287","27.4"
"Rivero, Sebastián ",665861,2022,23,26,29,4,0,0,0,10,2,34.5,6.9,".154",".154",".214","0.368","0.000",".250","0","0","0","0","0",".175","25.0"
"Melendez Jr., MJ",669004,2022,23,460,534,58,21,3,18,131,66,24.5,12.4,".217",".393",".313","0.706","0.176",".258","3","2","1","1","7",".310","27.8"
"Cabrera, Miguel",408234,2022,39,397,433,86,10,0,5,101,28,23.3,6.5,".254",".317",".305","0.622","0.063",".324","0","1","3","3","5",".275","23.1"
"MacKinnon, David",676950,2022,27,50,57,7,0,0,0,17,6,29.8,10.5,".140",".140",".228","0.368","0.000",".206","0","0","0","0","1",".181","26.7"
"Rojas, Miguel",500743,2022,33,471,507,84,19,2,6,61,26,12,5.1,".236",".323",".283","0.606","0.087",".258","3","9","6","1","3",".268","26.4"
"Cruz Jr., Nelson",443558,2022,41,448,507,79,16,0,10,119,49,23.5,9.7,".234",".337",".313","0.650","0.103",".295","0","4","4","1","3",".292","25.5"
"Pinto, René",650907,2022,25,80,83,12,3,0,2,35,2,42.2,2.4,".212",".325",".241","0.566","0.113",".349","0","0","1","0","0",".249","26.8"
"Demeritte, Travis",641513,2022,27,89,96,14,2,0,3,32,6,33.3,6.3,".213",".337",".260","0.597","0.124",".291","0","0","0","0","1",".263","28.2"
"Culberson, Charlie",518586,2022,33,115,124,21,6,0,2,31,5,25,4,".252",".357",".283","0.640","0.105",".329","3","2","0","0","0",".281","27.8"
"Hampson, Garrett",641658,2022,27,199,226,30,7,3,2,63,21,27.9,9.3,".211",".307",".287","0.594","0.096",".294","2","12","1","0","2",".267","29.4"
"Lowe, Brandon",664040,2022,27,235,266,32,10,2,8,61,27,22.9,10.2,".221",".383",".308","0.691","0.162",".263","0","1","3","0","1",".306","27.5"
"Realmuto, J.T.",592663,2022,31,504,562,86,26,5,22,119,41,21.2,7.3,".276",".478",".342","0.820","0.202",".318","1","21","12","1","5",".354","28.7"
"Díaz, Yandy",650490,2022,30,473,558,98,33,0,9,60,78,10.8,14,".296",".423",".401","0.824","0.127",".323","3","3","6","2","1",".366","27.1"
"Knapp, Andrew",595284,2022,30,39,46,4,1,0,0,12,5,26.1,10.9,".128",".154",".239","0.393","0.026",".179","0","0","1","0","1",".195","26.5"
"Moustakas, Mike",519058,2022,33,252,285,35,12,0,7,75,24,26.3,8.4,".214",".345",".295","0.640","0.131",".272","0","2","6","0","3",".286","25.1"
"Peña, Jeremy",665161,2022,24,521,558,88,20,2,22,135,22,24.2,3.9,".253",".426",".289","0.715","0.173",".298","2","11","6","0","5",".309","29.4"
"Herrera, Iván",671056,2022,22,18,22,2,0,0,0,8,2,36.4,9.1,".111",".111",".190","0.301","0.000",".182","0","0","0","0","1",".150","26.2"
"Dunand, Joe",656388,2022,26,10,11,1,1,0,1,3,0,27.3,0,".300",".700",".364","1.064","0.400",".333","0","0","1","0","0",".449",
"Suzuki, Seiya",673548,2022,27,397,446,66,22,2,14,110,42,24.7,9.4,".262",".433",".336","0.769","0.171",".326","5","9","4","3","3",".334","28.3"
"Duvall, Adam",594807,2022,33,287,315,32,16,1,12,101,21,32.1,6.7,".213",".401",".276","0.677","0.188",".278","2","0","5","0","2",".295","28.0"
"Phillips, Brett",621433,2022,28,201,225,18,6,0,5,94,16,41.8,7.1,".144",".249",".217","0.466","0.105",".233","0","7","3","0","1",".213","29.0"
"Smith, Will",669257,2022,27,508,578,79,26,3,24,96,56,16.6,9.7,".260",".465",".343","0.808","0.205",".276","0","1","10","4","4",".349","27.5"
"Ramírez, José",608070,2022,29,601,685,90,44,5,29,82,69,12,10.1,".280",".514",".355","0.869","0.234",".279","7","20","6","20","9",".363","28.5"
"Park, Hoy",660829,2022,26,51,60,7,2,0,2,15,4,25,6.7,".216",".373",".276","0.649","0.157",".250","0","1","1","0","2",".282","27.4"
"Adams, Riley",656180,2022,26,142,155,16,4,0,5,46,12,29.7,7.7,".176",".310",".245","0.555","0.134",".220","1","0","1","0","0",".249","26.7"
"Alberto, Hanser",593643,2022,29,156,159,25,9,2,2,25,3,15.7,1.9,".244",".365",".258","0.623","0.121",".279","1","0","0","0","0",".270","25.9"
"Díaz, Elias",553869,2022,31,351,381,51,18,2,9,82,25,21.5,6.6,".228",".368",".281","0.649","0.140",".270","1","0","2","0","3",".284","26.1"
