"last_name, first_name","player_id","year","player_age","pa","single","double","triple","home_run","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_intent_walk","b_sac_fly","woba"
"Turner, Justin",457759,2022,37,532,81,36,0,13,50,16.7,9.4,".278",".438",".350","0.788","0.160",".313","1","8",".343"
"Steer, Spencer",668715,2022,24,108,13,5,0,2,11,24.1,10.2,".211",".326",".306","0.632","0.115",".269","0","0",".287"
"Sisco, Chance",642082,2021,26,83,8,3,0,0,7,25.3,8.4,".149",".189",".241","0.430","0.040",".208","0","0",".205"
"Bichette, Bo",666182,2021,23,690,131,30,1,29,40,19.9,5.8,".298",".484",".343","0.827","0.186",".339","0","4",".354"
"Hernández, Teoscar",606192,2022,29,535,72,35,1,25,34,28.4,6.4,".267",".491",".316","0.807","0.224",".335","0","0",".348"
"Hays, Austin",669720,2020,24,134,28,2,0,4,8,18.7,6,".279",".393",".328","0.721","0.114",".316","0","2",".315"
"Smoak, Justin",475253,2020,33,132,9,7,0,5,10,31.8,7.6,".176",".361",".250","0.611","0.185",".219","0","1",".265"
"Miller, Brad",543543,2022,32,241,37,3,0,7,18,29,7.5,".212",".320",".270","0.590","0.108",".274","0","1",".263"
"Gosselin, Phil",594838,2022,33,77,10,0,1,0,2,31.2,2.6,".149",".176",".182","0.358","0.027",".220","0","0",".163"
"Pinto, René",650907,2022,25,83,12,3,0,2,2,42.2,2.4,".212",".325",".241","0.566","0.113",".349","0","0",".249"
"Posey III, Buster",457763,2021,34,454,79,23,0,18,56,19.2,12.3,".304",".499",".390","0.889","0.195",".349","5","2",".379"
"VanMeter, Josh",642165,2022,27,192,22,5,2,3,19,23.4,9.9,".187",".292",".266","0.558","0.105",".232","0","2",".251"
"Lowe, Brandon",664040,2020,25,224,27,9,2,14,25,25.9,11.2,".269",".554",".362","0.916","0.285",".309","0","2",".385"
"Carlson, Dylan",666185,2021,22,619,91,31,4,18,57,24.6,9.2,".266",".437",".343","0.780","0.171",".332","2","8",".336"
"Abreu, José",547989,2021,34,659,86,30,2,30,61,21.7,9.3,".261",".481",".351","0.832","0.220",".293","3","10",".354"
"Long Jr., Shed",643418,2021,25,121,13,4,1,4,9,32.2,7.4,".198",".360",".258","0.618","0.162",".265","0","0",".268"
"Walton, Donovan",622268,2022,28,78,3,8,0,1,1,20.5,1.3,".158",".303",".179","0.482","0.145",".186","0","0",".208"
"Owings, Chris",572008,2021,29,50,6,4,3,1,7,30,14,".326",".628",".420","1.048","0.302",".481","1","0",".431"
"Sogard, Eric",519299,2021,35,180,34,6,1,1,9,16.7,5,".249",".314",".283","0.597","0.065",".293","1","2",".259"
"Cruz Jr., Nelson",443558,2022,41,507,79,16,0,10,49,23.5,9.7,".234",".337",".313","0.650","0.103",".295","1","3",".292"
"Seager, Kyle",572122,2021,33,670,63,29,1,35,59,24,8.8,".212",".438",".285","0.723","0.226",".226","2","4",".308"
"White, Eli",642201,2021,27,220,22,6,1,6,18,30,8.2,".177",".308",".259","0.567","0.131",".230","0","0",".253"
"Buxton, Byron",621439,2020,26,135,17,3,0,13,2,26.7,1.5,".254",".577",".267","0.844","0.323",".241","0","2",".345"
"Melendez Jr., MJ",669004,2022,23,534,58,21,3,18,66,24.5,12.4,".217",".393",".313","0.706","0.176",".258","1","7",".310"
"Mateo, Jorge",622761,2022,27,533,64,25,7,13,27,27.6,5.1,".221",".379",".267","0.646","0.158",".286","0","2",".281"
"Romine, Austin",519222,2021,32,62,10,2,0,1,2,35.5,3.2,".217",".300",".242","0.542","0.083",".324","0","0",".237"
"Massey, Michael",686681,2022,24,194,28,9,1,4,9,23.7,4.6,".243",".376",".307","0.683","0.133",".304","0","2",".302"
"Phillips, Brett",621433,2021,27,292,26,9,4,13,33,38.7,11.3,".206",".427",".300","0.727","0.221",".302","0","2",".313"
"Rendon, Anthony",543685,2021,31,249,33,13,0,6,29,16.5,11.6,".240",".382",".329","0.711","0.142",".267","2","2",".310"
"Ohtani, Shohei",660271,2022,27,666,90,30,6,34,72,24.2,10.8,".273",".519",".356","0.875","0.246",".320","14","3",".370"
"Suárez, Eugenio",553993,2020,28,231,17,8,0,15,30,29,13,".202",".470",".312","0.782","0.268",".214","1","1",".332"
"Kepler, Max",596146,2021,28,490,46,21,4,19,54,19.6,11,".211",".413",".306","0.719","0.202",".225","3","4",".309"
"Senzatela, Antonio",622608,2021,26,51,2,0,0,0,0,37.3,0,".051",".051",".051","0.102","0.000",".100","0","0",".045"
"Hampson, Garrett",641658,2022,27,226,30,7,3,2,21,27.9,9.3,".211",".307",".287","0.594","0.096",".294","0","2",".267"
"Lowe, Brandon",664040,2022,27,266,32,10,2,8,27,22.9,10.2,".221",".383",".308","0.691","0.162",".263","0","1",".306"
"Quinn, Roman",596451,2020,27,116,17,3,1,2,5,33.6,4.3,".213",".315",".261","0.576","0.102",".313","0","0",".254"
"Wainwright, Adam",425794,2021,39,74,5,2,0,0,3,33.8,4.1,".123",".158",".167","0.325","0.035",".219","0","0",".149"
"Narváez, Omar",553882,2020,28,126,13,4,0,2,16,31,12.7,".176",".269",".294","0.563","0.093",".254","0","0",".262"
"Nola, Austin",543592,2020,30,184,27,9,1,7,18,18.5,9.8,".273",".472",".353","0.825","0.199",".303","1","2",".352"
"Adames, Willy",642715,2020,24,205,24,15,1,8,20,36.1,9.8,".259",".481",".332","0.813","0.222",".388","0","0",".347"
"Scherzer, Max",453286,2021,36,63,0,0,0,0,0,44.4,0,".000",".000",".000","0.000","0.000",".000","0","1",".000"
"Gausman, Kevin",592332,2021,30,62,10,0,0,0,2,50,3.2,".185",".185",".211","0.396","0.000",".417","0","1",".178"
"Trammell, Taylor",666211,2022,24,117,7,9,0,4,13,28.2,11.1,".196",".402",".284","0.686","0.206",".242","0","1",".300"
"Garcia, Leury",544725,2020,29,63,12,1,0,3,4,14.3,6.3,".271",".441",".317","0.758","0.170",".277","0","0",".326"
"Wolters, Tony",547172,2020,28,109,19,4,0,0,6,27.5,5.5,".230",".270",".280","0.550","0.040",".329","0","0",".249"
"Arias, Gabriel",672356,2022,22,57,6,1,1,1,8,28.1,14,".191",".319",".321","0.640","0.128",".267","0","0",".294"
"Rojas, Josh",668942,2022,28,510,84,25,1,9,55,19.2,10.8,".269",".391",".349","0.740","0.122",".323","2","5",".326"
"De La Cruz, Bryan",650559,2021,24,219,45,7,2,5,18,24.2,8.2,".296",".427",".356","0.783","0.131",".380","1","1",".339"
"Tellez, Rowdy",642133,2020,25,127,19,5,0,8,11,15.7,8.7,".283",".540",".346","0.886","0.257",".276","1","2",".369"
"Merrifield, Whit",593160,2021,32,720,129,42,3,10,40,14.3,5.6,".277",".395",".317","0.712","0.118",".309","1","12",".306"
"Toglia, Michael",669911,2022,23,120,12,8,2,2,9,36.7,7.5,".216",".378",".275","0.653","0.162",".338","0","0",".285"
"Senzel, Nick",669222,2021,26,124,23,4,0,1,12,12.9,9.7,".252",".315",".323","0.638","0.063",".284","0","1",".286"
"Casali, Curt",592200,2021,32,231,25,11,1,5,26,28.6,11.3,".210",".350",".313","0.663","0.140",".287","4","0",".289"
"Duvall, Adam",594807,2022,33,315,32,16,1,12,21,32.1,6.7,".213",".401",".276","0.677","0.188",".278","0","2",".295"
"Andujar, Miguel",609280,2020,25,65,11,2,1,1,3,13.8,4.6,".242",".355",".277","0.632","0.113",".269","0","0",".274"
"Suzuki, Seiya",673548,2022,27,446,66,22,2,14,42,24.7,9.4,".262",".433",".336","0.769","0.171",".326","3","3",".334"
"Trout, Mike",545361,2021,29,146,22,8,1,8,27,28.1,18.5,".333",".624",".466","1.090","0.291",".456","5","0",".451"
"Winker, Jesse",608385,2021,27,485,72,32,1,24,53,15.5,10.9,".305",".556",".394","0.950","0.251",".324","1","0",".403"
"Cruz Jr., Nelson",443558,2020,39,214,34,6,0,16,25,27.1,11.7,".303",".595",".397","0.992","0.292",".360","5","0",".411"
"Kelenic, Jarred",672284,2021,21,377,33,13,1,14,36,28.1,9.5,".181",".350",".265","0.615","0.169",".216","0","1",".270"
"Hall, Darick",669742,2022,26,142,16,8,1,9,5,31,3.5,".250",".522",".282","0.804","0.272",".301","0","0",".343"
"Lopez, Nicky",670032,2020,25,192,25,8,0,1,18,21.4,9.4,".201",".266",".286","0.552","0.065",".260","0","0",".254"
"Contreras, Mark",676628,2022,27,61,3,1,0,3,1,34.4,1.6,".121",".293",".148","0.441","0.172",".114","0","1",".189"
"Calhoun, Willie",641432,2020,25,108,15,2,1,1,5,15.7,4.6,".190",".260",".231","0.491","0.070",".214","0","2",".217"
"Sanó, Miguel",593934,2021,28,532,51,24,0,30,59,34.4,11.1,".223",".466",".312","0.778","0.243",".291","2","1",".332"
"Santander, Anthony",623993,2021,26,438,56,24,0,18,23,23.1,5.3,".241",".433",".286","0.719","0.192",".275","0","4",".307"
"Calhoun, Willie",641432,2021,26,284,46,10,3,6,21,12,7.4,".250",".381",".310","0.691","0.131",".267","0","1",".301"
"Locastro, Tim",641796,2020,27,82,13,4,1,2,8,17.1,9.8,".290",".464",".395","0.859","0.174",".340","0","0",".376"
"Grossman, Robbie",543257,2020,30,192,18,12,2,8,21,19.8,10.9,".241",".482",".344","0.826","0.241",".267","2","0",".351"
"Nola, Austin",543592,2022,32,397,68,15,0,4,34,15.1,8.6,".251",".329",".321","0.650","0.078",".284","1","9",".290"
"Casali, Curt",592200,2020,31,93,8,3,0,6,14,31.2,15.1,".224",".500",".366","0.866","0.276",".268","0","0",".372"
"Fletcher, David",664058,2020,26,230,50,13,0,3,20,10.9,8.7,".319",".425",".376","0.801","0.106",".348","0","2",".350"
"Espinal, Santiago",669289,2022,27,491,88,25,0,7,36,13.8,7.3,".267",".370",".322","0.692","0.103",".300","1","3",".305"
"Lowrie, Jed",476704,2021,37,512,70,28,0,14,49,21.1,9.6,".245",".398",".318","0.716","0.153",".289","1","4",".311"
"Garcia, Greg",594824,2020,30,71,9,3,0,0,7,25.4,9.9,".200",".250",".279","0.529","0.050",".279","0","1",".243"
"Arroyo, Christian",624414,2022,27,300,57,16,1,6,13,16.3,4.3,".286",".414",".322","0.736","0.128",".326","2","2",".319"
"Moustakas, Mike",519058,2022,33,285,35,12,0,7,24,26.3,8.4,".214",".345",".295","0.640","0.131",".272","0","3",".286"
"Encarnacion, Jerar",666464,2022,24,81,8,3,0,3,3,39.5,3.7,".182",".338",".210","0.548","0.156",".256","0","1",".236"
"Arozarena, Randy",668227,2022,27,645,90,41,3,20,46,24.2,7.1,".263",".445",".327","0.772","0.182",".325","2","2",".336"
"Nido, Tomás",621512,2022,28,313,50,15,0,3,14,24.3,4.5,".239",".324",".276","0.600","0.085",".314","0","2",".265"
"Abrams, CJ",682928,2022,21,302,54,12,2,2,5,16.6,1.7,".246",".324",".280","0.604","0.078",".291","0","2",".267"
"Tsutsugo, Yoshi",660294,2021,29,262,29,12,1,8,29,27.5,11.1,".217",".383",".307","0.690","0.166",".278","0","1",".302"
"González, Erik",570481,2020,28,193,24,13,1,3,8,26.4,4.1,".227",".359",".255","0.614","0.132",".292","0","3",".262"
"Joe, Connor",656582,2021,28,211,34,9,0,8,26,19.4,12.3,".285",".469",".379","0.848","0.184",".323","0","3",".366"
"Kemp, Tony",643393,2021,29,397,65,16,3,8,52,12.8,13.1,".279",".418",".382","0.800","0.139",".304","0","5",".351"
"Díaz, Isan",656371,2021,25,278,33,9,0,4,34,26.3,12.2,".193",".282",".293","0.575","0.089",".255","6","3",".252"
"Dickerson, Corey",572816,2022,33,297,51,17,1,6,12,16.2,4,".267",".399",".300","0.699","0.132",".301","1","2",".303"
"Cave, Jake",595909,2021,28,178,21,6,1,3,10,34.8,5.6,".189",".293",".249","0.542","0.104",".283","0","0",".241"
"Robert Jr., Luis",673357,2021,23,296,57,22,1,13,14,20.6,4.7,".338",".567",".378","0.945","0.229",".394","1","2",".399"
"Suárez, Eugenio",553993,2021,29,574,46,23,0,31,56,29.8,9.8,".198",".428",".286","0.714","0.230",".224","0","5",".306"
"Williams, Luke",663897,2022,25,136,23,5,1,1,9,32.4,6.6,".236",".315",".287","0.602","0.079",".354","1","0",".265"
"Nimmo, Brandon",607043,2021,28,386,67,17,3,8,54,20.5,14,".292",".437",".401","0.838","0.145",".366","0","0",".369"
"Rengifo, Luis",650859,2022,25,511,86,22,4,17,17,15.5,3.3,".264",".429",".294","0.723","0.165",".285","0","0",".314"
"Gray, Jon",592351,2021,29,50,5,0,0,0,0,64,0,".106",".106",".106","0.212","0.000",".333","0","0",".094"
"Castro, Jason",488771,2022,35,88,6,2,0,1,8,45.5,9.1,".115",".179",".205","0.384","0.064",".211","0","1",".183"
"Heyward, Jason",518792,2022,32,151,21,5,1,1,11,21.2,7.3,".204",".277",".278","0.555","0.073",".260","0","0",".253"
"Mayfield, Jack",608686,2021,30,290,33,15,0,10,17,23.4,5.9,".218",".387",".272","0.659","0.169",".254","0","1",".284"
"Bart, Joey",663698,2020,23,111,17,5,2,0,3,36.9,2.7,".233",".320",".288","0.608","0.087",".387","0","0",".271"
"Smith, Will",669257,2021,26,501,61,19,2,25,58,20.2,11.6,".258",".495",".365","0.860","0.237",".274","4","11",".364"
"Engel, Adam",641553,2022,30,260,39,13,1,2,11,29.2,4.2,".224",".310",".269","0.579","0.086",".317","1","0",".256"
"Fuentes, Joshua",658069,2020,27,103,21,7,0,2,2,28.2,1.9,".306",".439",".320","0.759","0.133",".406","0","2",".323"
"Chavis, Michael",656308,2021,25,124,19,7,1,3,1,33.9,0.8,".248",".397",".258","0.655","0.149",".351","0","1",".277"
"Molina, Yadier",425877,2020,37,156,32,2,0,4,6,13.5,3.8,".262",".359",".303","0.662","0.097",".281","0","1",".290"
"O'Neill, Tyler",641933,2020,25,157,12,5,0,7,15,27.4,9.6,".173",".360",".261","0.621","0.187",".189","0","1",".271"
"Realmuto, J.T.",592663,2022,31,562,86,26,5,22,41,21.2,7.3,".276",".478",".342","0.820","0.202",".318","1","5",".354"
"Smith, Dominic",642086,2021,26,493,78,20,0,11,32,22.7,6.5,".244",".363",".304","0.667","0.119",".298","2","6",".291"
"Reyes, Franmil",614177,2021,25,466,56,18,2,30,43,32,9.2,".254",".522",".324","0.846","0.268",".314","3","3",".354"
"Hoskins, Rhys",656555,2021,28,443,40,29,0,27,47,24.4,10.6,".247",".530",".334","0.864","0.283",".270","0","2",".364"
"Canó, Robinson",429664,2022,39,104,13,1,0,1,4,24,3.8,".150",".190",".183","0.373","0.040",".189","0","0",".169"
"Celestino, Gilberto",665482,2021,22,62,3,3,0,2,3,22.6,4.8,".136",".288",".177","0.465","0.152",".140","0","0",".201"
"Jones, Nolan",666134,2022,24,94,14,5,0,2,8,33,8.5,".244",".372",".309","0.681","0.128",".358","1","0",".297"
"Tapia, Raimel",606132,2022,28,433,79,20,3,7,16,18.7,3.7,".265",".380",".292","0.672","0.115",".315","0","1",".293"
"Crawford, Brandon",543063,2022,35,458,68,15,2,9,39,21.4,8.5,".231",".344",".308","0.652","0.113",".280","3","4",".289"
"Mercado, Óscar",640458,2020,25,93,9,1,0,1,5,29,5.4,".128",".174",".174","0.348","0.046",".169","0","1",".159"
"Stanton, Giancarlo",519317,2020,30,94,8,7,0,4,15,28.7,16,".250",".500",".387","0.887","0.250",".333","1","0",".379"
"Urshela, Gio",570482,2021,29,442,78,18,2,14,20,24.7,4.5,".267",".419",".301","0.720","0.152",".329","0","1",".309"
"Larnach, Trevor",663616,2021,24,301,39,12,0,7,31,34.6,10.3,".223",".350",".322","0.672","0.127",".338","0","2",".300"
"Cain, Lorenzo",456715,2022,36,156,20,5,0,1,8,23.1,5.1,".179",".234",".231","0.465","0.055",".229","0","1",".212"
"Springer III, George",543807,2020,30,222,28,6,2,14,24,17.1,10.8,".265",".540",".359","0.899","0.275",".259","0","2",".379"
"Taylor, Michael A.",572191,2021,30,528,89,16,1,12,33,27.3,6.3,".244",".356",".297","0.653","0.112",".319","0","5",".286"
"Bradley Jr., Jackie",598265,2021,31,428,40,14,3,6,28,30.8,6.5,".163",".261",".236","0.497","0.098",".226","0","3",".224"
"Wong, Connor",657136,2022,26,56,5,3,0,1,5,28.6,8.9,".188",".313",".273","0.586","0.125",".250","0","1",".263"
"Escobar, Alcides",444876,2022,35,131,21,4,2,0,5,24.4,3.8,".218",".282",".260","0.542","0.064",".293","0","0",".242"
"Mendick, Danny",664901,2022,28,106,20,4,1,3,7,21.7,6.6,".289",".443",".343","0.786","0.154",".352","0","0",".344"
"Beaty, Matt",607461,2021,28,234,43,4,1,7,20,18.8,8.5,".270",".402",".363","0.765","0.132",".314","0","0",".339"
"Piscotty, Stephen",572039,2022,31,139,15,4,0,5,9,34.5,6.5,".190",".341",".252","0.593","0.151",".253","1","2",".258"
"Miller, Brad",543543,2020,30,171,17,8,1,7,25,26.9,14.6,".232",".451",".357","0.808","0.219",".289","1","1",".349"
"Pollock, AJ",572041,2021,33,422,65,27,1,21,30,19,7.1,".297",".536",".355","0.891","0.239",".326","4","2",".375"
"Almora Jr., Albert",546991,2021,27,54,3,3,0,0,2,31.5,3.7,".115",".173",".148","0.321","0.058",".171","0","0",".143"
"Cain, Lorenzo",456715,2021,35,286,45,13,0,8,26,16.8,9.1,".257",".401",".329","0.730","0.144",".287","0","1",".319"
"Allen, Nick",669397,2022,23,326,45,13,0,4,19,19.6,5.8,".207",".291",".256","0.547","0.084",".250","0","1",".245"
"Trout, Mike",545361,2022,30,499,54,28,2,40,54,27.9,10.8,".283",".630",".369","0.999","0.347",".323","8","1",".418"
"Happ, Ian",664023,2021,26,535,59,20,1,25,62,29.2,11.6,".226",".434",".323","0.757","0.208",".281","0","1",".328"
"Schrock, Max",621011,2021,26,134,24,7,2,3,8,17.9,6,".288",".448",".328","0.776","0.160",".333","1","1",".329"
"Frazier, Adam",624428,2022,30,602,100,22,4,3,46,12.1,7.6,".238",".311",".301","0.612","0.073",".268","1","6",".274"
"Blandino, Alex",607468,2021,28,82,10,4,0,0,8,34.1,9.8,".200",".257",".317","0.574","0.057",".333","0","0",".270"
"Frazier, Clint",640449,2020,25,160,20,6,1,8,25,27.5,15.6,".267",".511",".394","0.905","0.244",".338","0","1",".388"
"Jones, Jahmai",663330,2021,23,72,7,3,0,0,4,36.1,5.6,".149",".194",".208","0.402","0.045",".244","0","0",".186"
"Kelenic, Jarred",672284,2022,22,181,10,5,1,7,16,33.7,8.8,".141",".313",".221","0.534","0.172",".167","0","1",".238"
"DeSclafani, Anthony",543101,2021,31,62,1,1,0,0,4,53.2,6.5,".039",".059",".109","0.168","0.020",".111","0","0",".089"
"Rendon, Anthony",543685,2022,32,193,23,10,0,5,23,18.1,11.9,".229",".380",".326","0.706","0.151",".258","0","2",".314"
"Kemp, Matt",461314,2020,35,132,19,3,0,6,15,31.1,11.4,".239",".419",".326","0.745","0.180",".314","1","0",".322"
"Andrus, Elvis",462101,2020,31,111,12,5,0,3,8,13.5,7.2,".194",".330",".252","0.582","0.136",".200","0","0",".255"
"Riley, Austin",663586,2022,25,693,89,39,2,38,57,24.2,8.2,".273",".528",".349","0.877","0.255",".315","1","4",".377"
"Almora Jr., Albert",546991,2022,28,235,32,10,1,5,17,19.6,7.2,".223",".349",".282","0.631","0.126",".261","0","1",".279"
"Casali, Curt",592200,2022,33,176,21,4,0,5,24,28.4,13.6,".203",".331",".318","0.649","0.128",".263","0","2",".295"
"Conforto, Michael",624424,2020,27,233,44,12,0,9,24,24.5,10.3,".322",".515",".412","0.927","0.193",".412","0","0",".401"
"Murphy, Tom",608596,2021,30,325,37,8,0,11,40,30.5,12.3,".202",".350",".304","0.654","0.148",".265","0","3",".291"
"Dyson, Jarrod",502481,2020,35,66,11,0,0,0,4,16.7,6.1,".180",".180",".231","0.411","0.000",".220","0","0",".192"
"Tsutsugo, Yoshi",660294,2020,28,185,17,5,1,8,26,27,14.1,".197",".395",".314","0.709","0.198",".230","1","1",".309"
"Sánchez, Gary",596142,2021,28,440,41,13,1,23,52,27.5,11.8,".204",".423",".307","0.730","0.219",".230","3","0",".314"
"Leblanc, Charles",641779,2022,26,169,27,10,0,4,12,31.4,7.1,".263",".404",".320","0.724","0.141",".374","0","0",".318"
"Meadows, Austin",640457,2021,26,591,62,29,3,27,59,20.6,10,".234",".458",".315","0.773","0.224",".249","3","8",".327"
"Kelly, Merrill",518876,2021,32,58,2,1,0,0,4,46.6,6.9,".064",".085",".137","0.222","0.021",".150","0","0",".113"
"Nimmo, Brandon",607043,2020,27,225,33,8,3,8,33,19.1,14.7,".280",".484",".404","0.888","0.204",".326","0","0",".387"
"Devers, Rafael",646240,2022,25,614,94,42,1,27,50,18.6,8.1,".295",".521",".358","0.879","0.226",".329","11","3",".373"
"Flores, Wilmer",527038,2020,28,213,29,11,1,12,13,16.9,6.1,".268",".515",".315","0.830","0.247",".272","1","1",".347"
"Stroman, Marcus",573186,2021,30,58,3,2,0,0,4,41.4,6.9,".098",".137",".164","0.301","0.039",".185","0","0",".143"
"Franco, Wander",677551,2022,21,344,58,20,3,6,26,9.6,7.6,".277",".417",".328","0.745","0.140",".290","1","4",".323"
"León, Sandy",506702,2020,31,81,6,1,0,2,14,25.9,17.3,".136",".242",".296","0.538","0.106",".163","0","0",".259"
"Lester, Jon",452657,2021,37,51,5,2,0,1,2,47.1,3.9,".167",".271",".200","0.471","0.104",".304","0","0",".205"
"Martínez, José A.",500874,2020,31,98,10,4,0,2,10,27.6,10.2,".182",".295",".265","0.560","0.113",".237","1","0",".248"
"Anderson, Brian",605119,2020,27,229,32,7,1,11,22,28.8,9.6,".255",".465",".345","0.810","0.210",".323","1","1",".348"
"Buxton, Byron",621439,2022,28,382,32,13,3,28,34,30.4,8.9,".224",".526",".306","0.832","0.302",".244","0","1",".356"
"Duran, Jarren",680776,2022,25,223,25,14,3,3,14,28.3,6.3,".221",".363",".283","0.646","0.142",".302","0","1",".284"
"Dalbec, Bobby",666915,2020,25,92,10,3,0,8,10,42.4,10.9,".263",".600",".359","0.959","0.337",".394","0","0",".400"
"Cron, C.J.",543068,2020,30,52,1,3,0,4,9,30.8,17.3,".190",".548",".346","0.894","0.358",".182","0","0",".376"
"Dahl, David",621311,2021,27,220,28,11,0,4,10,26.8,4.5,".210",".322",".247","0.569","0.112",".269","0","3",".246"
"Soler, Jorge",624585,2020,28,174,18,8,0,8,19,34.5,10.9,".228",".443",".326","0.769","0.215",".317","0","1",".332"
"Alonso, Pete",624413,2020,25,239,26,6,0,16,24,25.5,10,".231",".490",".326","0.816","0.259",".242","4","1",".342"
"Pinder, Chad",640461,2021,29,233,29,16,1,6,16,26.6,6.9,".243",".411",".300","0.711","0.168",".313","0","1",".307"
"Walsh, Jared",665120,2020,26,108,14,4,2,9,5,13.9,4.6,".293",".646",".324","0.970","0.353",".256","0","3",".393"
"Pollock, AJ",572041,2022,34,527,79,26,1,14,32,18.6,6.1,".245",".389",".292","0.681","0.144",".278","0","4",".297"
"Yelich, Christian",592885,2020,28,247,21,7,1,12,46,30.8,18.6,".205",".430",".356","0.786","0.225",".259","2","0",".343"
"Contreras, William",661388,2022,24,376,58,14,1,20,39,27.7,10.4,".278",".506",".354","0.860","0.228",".344","1","2",".370"
"Plawecki, Kevin",608700,2022,31,186,28,8,0,1,14,17.2,7.5,".220",".286",".286","0.572","0.066",".265","0","1",".259"
"Suárez, Eugenio",553993,2022,30,629,71,24,2,31,73,31.2,11.6,".236",".459",".332","0.791","0.223",".302","0","5",".344"
"Harper, Bryce",547180,2021,28,599,73,42,1,35,100,22.4,16.7,".309",".615",".429","1.044","0.306",".359","14","4",".431"
"Urías, Luis",649966,2022,25,472,63,17,1,16,50,21,10.6,".239",".404",".335","0.739","0.165",".274","0","5",".327"
"Garneau, Dustin",572863,2021,33,68,2,5,0,6,3,26.5,4.4,".210",".581",".250","0.831","0.371",".175","0","2",".335"
"McMahon, Ryan",641857,2020,25,193,21,6,1,9,18,34.2,9.3,".215",".419",".295","0.714","0.204",".286","0","1",".308"
"Hill, Derek",656537,2021,25,150,27,3,3,3,10,28,6.7,".259",".388",".313","0.701","0.129",".351","0","0",".305"
"Edman, Tommy",669242,2022,27,630,105,31,4,13,46,17.6,7.3,".265",".400",".324","0.724","0.135",".308","2","1",".318"
"Yastrzemski, Mike",573262,2021,30,532,49,28,3,25,51,24.6,9.6,".224",".457",".311","0.768","0.233",".254","4","3",".326"
"Williams, Justin",642211,2021,25,137,15,0,0,4,17,33.6,12.4,".160",".261",".270","0.531","0.101",".217","5","0",".229"
"Palacios, Jermaine",650339,2022,25,77,8,0,0,2,4,35.1,5.2,".143",".229",".184","0.413","0.086",".186","0","2",".184"
"Solano, Donovan",456781,2021,33,344,62,17,0,7,25,16.9,7.3,".280",".404",".344","0.748","0.124",".321","2","4",".324"
"Freeman, Freddie",518692,2020,30,262,36,23,1,13,45,14.1,17.2,".341",".640",".462","1.102","0.299",".366","7","0",".456"
"Urías, Ramón",602104,2022,28,445,66,17,1,16,30,22,6.7,".248",".414",".305","0.719","0.166",".287","1","4",".313"
"Goodrum, Niko",592348,2020,28,179,16,7,1,5,18,38.5,10.1,".184",".335",".263","0.598","0.151",".276","0","3",".262"
"LeMahieu, DJ",518934,2020,31,216,49,10,2,10,18,9.7,8.3,".364",".590",".421","1.011","0.226",".370","0","1",".429"
"Miller, Owen",680911,2022,25,472,70,26,1,6,32,19.7,6.8,".243",".351",".301","0.652","0.108",".290","1","9",".287"
"Alcántara, Sergio",642727,2022,25,224,30,8,1,6,12,25.4,5.4,".220",".356",".261","0.617","0.136",".267","0","4",".269"
