"last_name, first_name","player_id","year","player_age","pa","single","double","triple","home_run","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_intent_walk","b_sac_fly","woba"
"Riley, Austin",663586,2020,23,206,29,7,1,8,16,23.8,7.8,".239",".415",".301","0.716","0.176",".280","1","1",".307"
"Judge, Aaron",592450,2020,28,114,14,3,0,9,10,28.1,8.8,".257",".554",".336","0.890","0.297",".283","0","0",".375"
"Laureano, Ramón",657656,2020,25,222,24,8,1,6,24,26.1,10.8,".213",".366",".338","0.704","0.153",".270","0","3",".315"
"Garver, Mitch",641598,2020,29,81,9,1,0,2,7,45.7,8.6,".167",".264",".247","0.511","0.097",".294","0","1",".232"
"Engel, Adam",641553,2020,28,93,17,5,1,3,3,20.4,3.2,".295",".477",".333","0.810","0.182",".348","0","0",".347"
"Meadows, Austin",640457,2022,27,147,24,6,2,0,16,11.6,10.9,".250",".328",".347","0.675","0.078",".288","0","0",".307"
"Canó, Robinson",429664,2020,37,182,35,9,0,10,9,13.2,4.9,".316",".544",".352","0.896","0.228",".319","1","1",".376"
"Longoria, Evan",446334,2020,34,209,31,10,1,7,11,18.7,5.3,".254",".425",".297","0.722","0.171",".280","0","3",".308"
"Reynolds, Bryan",668804,2020,25,208,20,6,2,7,21,27.4,10.1,".189",".357",".275","0.632","0.168",".231","0","0",".278"
"Adames, Willy",642715,2022,26,617,72,31,0,31,49,26.9,7.9,".238",".458",".298","0.756","0.220",".278","3","4",".325"
"Castro, Willi",650489,2021,24,450,61,15,6,9,23,24.2,5.1,".220",".351",".273","0.624","0.131",".275","1","3",".271"
"Altuve, Jose",514888,2020,30,210,28,9,0,5,17,18.6,8.1,".219",".344",".286","0.630","0.125",".250","0","0",".278"
"Myers, Wil",571976,2022,31,286,46,15,0,7,21,30.1,7.3,".261",".398",".315","0.713","0.137",".357","1","3",".311"
"Aguilar, Jesús",542583,2022,32,507,74,19,0,16,28,23.5,5.5,".235",".379",".281","0.660","0.144",".278","1","5",".288"
"Witt Jr., Bobby",677951,2022,22,632,93,31,6,20,30,21.4,4.7,".254",".428",".294","0.722","0.174",".295","2","5",".311"
