"last_name, first_name","player_id","year","player_age","ab","pa","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","r_total_caught_stealing","r_total_stolen_base","b_hit_by_pitch","b_intent_walk","b_sac_fly","woba","sprint_speed"
"Blackmon, Charlie",453568,2023,36,359,413,63,24,5,8,55,39,13.3,9.4,".279",".440",".363","0.803","0.161",".307","1","4","11","0","4",".350","27.6"
"Votto, Joey",458015,2023,39,208,242,22,6,0,14,62,27,25.6,11.2,".202",".433",".314","0.747","0.231",".212","0","0","7","0","0",".326","25.6"
"Kiner-Falefa, Isiah",643396,2023,28,326,361,60,12,1,6,70,28,19.4,7.8,".242",".340",".306","0.646","0.098",".289","5","14","3","0","3",".286","27.7"
"Siri, Jose",642350,2023,27,338,364,35,13,2,25,130,20,35.7,5.5,".222",".494",".267","0.761","0.272",".269","3","12","2","0","3",".319","29.7"
"Bruján, Vidal",660644,2023,25,76,84,11,2,0,0,21,5,25,6,".171",".197",".241","0.438","0.026",".236","2","3","2","0","0",".206","26.9"
"Jansen, Danny",643376,2023,28,268,301,29,15,0,17,62,23,20.6,7.6,".228",".474",".312","0.786","0.246",".233","0","0","10","1","0",".336","27.1"
"Davis, J.D.",605204,2023,30,480,546,77,23,1,18,152,52,27.8,9.5,".248",".412",".325","0.737","0.164",".320","0","1","6","0","6",".321","25.8"
"Ozuna, Marcell",542303,2023,32,530,592,75,29,1,40,134,57,22.6,9.6,".274",".558",".346","0.904","0.284",".293","0","0","3","1","2",".381","26.4"
"Pérez, Carlos",656024,2023,26,49,53,5,4,0,1,11,4,20.8,7.5,".204",".347",".264","0.611","0.143",".243","0","0","0","0","0",".267","26.1"
"Cordero, Franchy",614173,2023,28,69,71,5,2,0,6,25,2,35.2,2.8,".188",".478",".211","0.689","0.290",".184","0","0","0","0","0",".286","27.4"
"Campusano, Luis",669134,2023,24,163,174,38,7,0,7,21,7,12.1,4,".319",".491",".356","0.847","0.172",".331","0","0","3","0","1",".364","25.8"
"d'Arnaud, Travis",518595,2023,34,267,292,36,13,0,11,67,21,22.9,7.2,".225",".397",".288","0.685","0.172",".258","0","0","3","0","1",".297","26.1"
"Ford, Mike",645801,2023,30,219,251,28,6,0,16,81,24,32.3,9.6,".228",".475",".323","0.798","0.247",".276","0","0","7","0","1",".343","24.5"
"Alvarez, Yordan",670541,2023,26,410,496,64,24,1,31,92,69,18.5,13.9,".293",".583",".407","0.990","0.290",".306","0","0","13","5","4",".415","26.3"
"Rafaela, Ceddanne",678882,2023,22,83,89,12,6,0,2,28,4,31.5,4.5,".241",".386",".281","0.667","0.145",".333","1","3","1","0","1",".287","28.7"
"Miller, Owen",680911,2023,26,291,314,54,17,0,5,61,17,19.4,5.4,".261",".371",".303","0.674","0.110",".310","2","13","2","1","4",".292","29.0"
"Noda, Ryan",676116,2023,27,406,495,54,22,1,16,170,77,34.3,15.6,".229",".406",".364","0.770","0.177",".347","1","3","10","1","2",".342","27.3"
"Melendez Jr., MJ",669004,2023,24,533,602,75,29,5,16,170,62,28.2,10.3,".235",".398",".316","0.714","0.163",".311","4","6","3","2","4",".310","27.6"
"Barnhart, Tucker",571466,2023,32,109,123,18,3,0,1,42,12,34.1,9.8,".202",".257",".285","0.542","0.055",".313","0","1","1","0","1",".250","23.2"
"Mitchell, Garrett",669003,2023,24,65,73,10,2,1,3,26,7,35.6,9.6,".246",".446",".315","0.761","0.200",".351","1","1","0","0","1",".326","29.3"
"Choi, Ji Man",596847,2023,32,104,117,6,5,0,6,35,10,29.9,8.5,".163",".385",".239","0.624","0.222",".169","0","0","1","0","2",".267","24.9"
"Cabbage, Trey",663550,2023,26,53,56,7,3,0,1,26,2,46.4,3.6,".208",".321",".232","0.553","0.113",".370","1","1","0","0","1",".238","28.4"
"Caballero, José",676609,2023,26,231,280,37,9,1,4,66,28,23.6,10,".221",".320",".343","0.663","0.099",".285","3","26","17","0","4",".305","29.0"
"Ortega, Rafael",542364,2023,32,114,136,21,3,0,1,33,20,24.3,14.7,".219",".272",".341","0.613","0.053",".300","1","6","1","0","0",".288","27.2"
"Bell, Josh",605137,2023,30,547,617,85,28,0,22,134,63,21.7,10.2,".247",".419",".325","0.744","0.172",".287","1","0","2","2","3",".323","25.9"
"León, Sandy",506702,2023,34,41,44,4,2,0,0,20,1,45.5,2.3,".146",".195",".186","0.381","0.049",".286","0","0","1","0","0",".173","22.7"
"Betts, Mookie",605141,2023,30,584,693,99,40,1,39,107,96,15.4,13.9,".307",".579",".408","0.987","0.272",".316","3","14","8","3","5",".416","27.2"
"Wallach, Chad",595453,2023,31,157,172,18,5,1,7,57,13,33.1,7.6,".197",".376",".259","0.635","0.179",".258","1","0","0","0","0",".275","24.3"
"Fletcher, Dominic",666150,2023,25,93,102,20,5,1,2,22,7,21.6,6.9,".301",".441",".350","0.791","0.140",".377","2","0","0","1","0",".340","26.4"
"Matos, Luis",682641,2023,21,228,253,41,13,1,2,33,20,13,7.9,".250",".342",".319","0.661","0.092",".285","0","3","3","0","0",".295","27.7"
"Nimmo, Brandon",607043,2023,30,592,682,102,30,6,24,146,74,21.4,10.9,".274",".466",".363","0.829","0.192",".324","3","3","11","0","4",".359","28.0"
"Mejía, Francisco",642336,2023,27,150,160,18,11,0,5,38,6,23.8,3.8,".227",".400",".258","0.658","0.173",".266","1","0","1","0","2",".280","26.3"
"Julks, Corey",667452,2023,27,298,323,53,14,0,6,75,22,23.2,6.8,".245",".352",".297","0.649","0.107",".306","3","15","1","0","2",".286","28.4"
"Harrison, Josh",543281,2023,35,103,114,16,3,0,2,20,3,17.5,2.6,".204",".291",".263","0.554","0.087",".229","0","0","6","0","2",".248","26.5"
"Capra, Vinny",681962,2023,26,18,21,2,1,0,0,5,2,23.8,9.5,".167",".222",".250","0.472","0.055",".231","0","0","0","0","0",".220","27.7"
"Monasterio, Andruw",655316,2023,26,282,315,55,14,1,3,66,28,21,8.9,".259",".348",".330","0.678","0.089",".326","2","7","3","0","2",".302","28.0"
