"last_name, first_name","player_id","year","player_age","ab","pa","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","r_total_caught_stealing","r_total_stolen_base","b_hit_by_pitch","b_intent_walk","b_sac_fly","woba","sprint_speed"
"Leblanc, Charles",641779,2024,28,21,28,2,0,0,2,9,7,32.1,25,".190",".476",".393","0.869","0.286",".200","0","0","0","0","0",".382","27.2"
"Rojas, Johan",679032,2024,23,338,363,64,12,3,3,69,13,19,3.6,".243",".322",".279","0.601","0.079",".297","4","25","4","0","0",".265","30.1"
"Robert Jr., Luis",673357,2024,26,393,425,55,19,0,14,141,28,33.2,6.6,".224",".379",".278","0.657","0.155",".310","6","23","2","2","1",".285","28.8"
"Pereda, Jhonny",640902,2024,28,39,40,9,0,0,0,10,0,25,0,".231",".231",".250","0.481","0.000",".310","0","0","1","0","0",".216","24.5"
"Giménez, Andrés",665926,2024,25,583,633,115,22,1,9,97,26,15.3,4.1,".252",".340",".298","0.638","0.088",".286","5","30","15","1","6",".281","28.9"
"Perez, Salvador",521692,2024,34,590,652,105,28,0,27,129,44,19.8,6.7,".271",".456",".330","0.786","0.185",".302","0","0","11","9","6",".335","24.5"
"Kelenic, Jarred",672284,2024,24,412,449,60,18,2,15,133,32,29.6,7.1,".231",".393",".286","0.679","0.162",".300","2","7","1","1","3",".294","27.9"
"Sosa, Lenyn",672820,2024,24,351,369,68,13,0,8,77,12,20.9,3.3,".254",".359",".283","0.642","0.105",".303","1","3","3","1","1",".280","27.3"
"Peguero, Liover",678894,2024,23,10,10,1,1,0,0,3,0,30,0,".200",".300",".200","0.500","0.100",".286","0","0","0","0","0",".214",
"Crawford, J.P.",641487,2024,29,392,451,52,16,2,9,102,52,22.6,11.5,".202",".321",".304","0.625","0.119",".248","0","5","6","0","1",".283","26.8"
"Frelick, Sal",686217,2024,24,475,524,95,22,4,2,78,39,14.9,7.4,".259",".335",".320","0.655","0.076",".306","3","18","4","0","1",".292","29.3"
"Busch, Michael",683737,2024,26,496,567,72,28,2,21,162,63,28.6,11.1,".248",".440",".335","0.775","0.192",".322","1","2","4","1","4",".336","27.3"
"Wallner, Matt",670242,2024,26,220,261,26,17,1,13,95,24,36.4,9.2,".259",".523",".372","0.895","0.264",".389","0","3","16","0","1",".385","27.5"
"Alvarez Jr., Nacho",805373,2024,21,30,32,3,0,0,0,10,0,31.3,0,".100",".100",".156","0.256","0.000",".150","0","0","2","0","0",".128","25.9"
"Ornelas, Jonathan",680716,2024,24,37,40,6,2,0,0,13,2,32.5,5,".216",".270",".256","0.526","0.054",".333","0","0","0","0","0",".235","27.3"
"Stanton, Giancarlo",519317,2024,34,417,459,50,20,0,27,143,38,31.2,8.3,".233",".475",".298","0.773","0.242",".281","0","0","2","2","2",".330","24.6"
"Tromp, Chadwick",644433,2024,29,52,54,7,6,0,0,17,1,31.5,1.9,".250",".365",".259","0.624","0.115",".361","0","0","0","0","1",".266","24.2"
"Hicks, Aaron",543305,2024,34,57,63,7,0,0,1,23,6,36.5,9.5,".140",".193",".222","0.415","0.053",".212","0","0","0","0","0",".196","27.0"
"Wade Jr., LaMonte",664774,2024,30,331,401,62,16,0,8,90,62,22.4,15.5,".260",".381",".380","0.761","0.121",".331","1","2","4","5","3",".337","25.2"
"Black, Tyler",672012,2024,23,49,57,8,2,0,0,17,7,29.8,12.3,".204",".245",".316","0.561","0.041",".313","0","3","1","0","0",".265","26.7"
"Collins, Isaac",686555,2024,26,17,19,2,0,0,0,10,2,52.6,10.5,".118",".118",".211","0.329","0.000",".286","0","1","0","0","0",".165",
"Stowers, Kyle",669065,2024,26,192,209,24,11,2,3,74,13,35.4,6.2,".208",".333",".268","0.601","0.125",".319","1","0","3","0","1",".265","28.2"
"Rortvedt, Ben",666163,2024,26,290,328,50,13,0,3,88,34,26.8,10.4,".228",".303",".317","0.620","0.075",".317","0","1","4","0","0",".283","25.6"
"Olivares, Edward",658668,2024,28,174,196,30,4,0,5,37,16,18.9,8.2,".224",".333",".291","0.624","0.109",".250","0","1","2","0","4",".276","27.8"
"Jansen, Danny",643376,2024,29,278,324,35,13,0,9,61,40,18.8,12.3,".205",".349",".309","0.658","0.144",".227","0","0","3","0","3",".294","26.6"
"Maile, Luke",571912,2024,33,135,154,18,4,0,2,52,13,33.8,8.4,".178",".252",".268","0.520","0.074",".268","0","2","4","0","1",".241","25.5"
"Burger, Jake",669394,2024,28,535,579,81,23,1,29,150,31,25.9,5.4,".250",".460",".301","0.761","0.210",".292","1","1","9","2","4",".325","27.9"
"Sullivan, Brett",664954,2024,30,16,17,2,0,0,1,4,1,23.5,5.9,".188",".375",".235","0.610","0.187",".182","0","0","0","0","0",".265",
