"last_name, first_name","player_id","year","player_age","ab","pa","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","r_total_caught_stealing","r_total_stolen_base","b_hit_by_pitch","b_intent_walk","b_sac_fly","woba","sprint_speed"
"Garver, Mitch",641598,2020,29,72,81,9,1,0,2,37,7,45.7,8.6,".167",".264",".247","0.511","0.097",".294","0","0","1","0","1",".232","25.9"
"Verdugo, Alex",657077,2020,24,201,221,40,16,0,6,45,17,20.4,7.7,".308",".478",".367","0.845","0.170",".371","0","4","2","1","1",".362","27.6"
"Muncy, Max",571970,2020,29,203,248,23,4,0,12,60,39,24.2,15.7,".192",".389",".331","0.720","0.197",".203","0","1","4","2","2",".316","27.3"
"Slater, Austin",596103,2020,27,85,104,16,2,1,5,22,16,21.2,15.4,".282",".506",".408","0.914","0.224",".328","1","8","2","0","0",".395","27.7"
"Conforto, Michael",624424,2020,27,202,233,44,12,0,9,57,24,24.5,10.3,".322",".515",".412","0.927","0.193",".412","3","3","7","0","0",".401","26.9"
"Noll, Jake",669738,2020,26,17,17,5,1,0,0,4,0,23.5,0,".353",".412",".353","0.765","0.059",".462","0","0","0","0","0",".332","26.9"
"Pham, Tommy",502054,2020,32,109,125,18,2,0,3,27,15,21.6,12,".211",".312",".312","0.624","0.101",".253","0","6","1","0","0",".284","28.2"
"Mathisen, Wyatt",621500,2020,26,27,33,4,0,0,2,12,5,36.4,15.2,".222",".444",".364","0.808","0.222",".308","0","0","1","0","0",".355","25.3"
"Bryant, Kris",592178,2020,28,131,147,17,5,1,4,40,12,27.2,8.2,".206",".351",".293","0.644","0.145",".264","0","0","4","0","0",".285","27.5"
"Naquin, Tyler",571980,2020,29,133,141,16,8,1,4,40,5,28.4,3.5,".218",".383",".248","0.631","0.165",".275","1","0","1","0","2",".268","26.8"
"Hosmer, Eric",543333,2020,30,143,156,26,6,0,9,28,9,17.9,5.8,".287",".517",".333","0.850","0.230",".296","0","4","2","0","2",".359","25.6"
"Judge, Aaron",592450,2020,28,101,114,14,3,0,9,32,10,28.1,8.8,".257",".554",".336","0.890","0.297",".283","1","0","2","0","0",".375","26.7"
"Anderson, Brian",605119,2020,27,200,229,32,7,1,11,66,22,28.8,9.6,".255",".465",".345","0.810","0.210",".323","0","0","6","1","1",".348","26.4"
"Belt, Brandon",474832,2020,32,149,179,23,13,1,9,36,30,20.1,16.8,".309",".591",".425","1.016","0.282",".356","0","0","0","1","0",".427","25.2"
"Senzel, Nick",669222,2020,25,70,78,5,6,0,2,15,6,19.2,7.7,".186",".357",".247","0.604","0.171",".204","1","2","0","0","1",".260","29.3"
"Ohtani, Shohei",660271,2020,25,153,175,16,6,0,7,50,22,28.6,12.6,".190",".366",".291","0.657","0.176",".229","1","7","0","0","0",".290","28.7"
"Locastro, Tim",641796,2020,27,69,82,13,4,1,2,14,8,17.1,9.8,".290",".464",".395","0.859","0.174",".340","0","4","4","0","0",".376","30.6"
"Fowler, Dexter",451594,2020,34,90,101,15,2,0,4,28,10,27.7,9.9,".233",".389",".317","0.706","0.156",".293","1","1","1","0","0",".310","26.8"
"Garcia, Leury",544725,2020,29,59,63,12,1,0,3,9,4,14.3,6.3,".271",".441",".317","0.758","0.170",".277","0","0","0","0","0",".326","28.3"
"White, Evan",657108,2020,24,182,202,17,7,0,8,84,18,41.6,8.9,".176",".346",".252","0.598","0.170",".264","2","1","1","0","1",".261","28.2"
"Thomas, Lane",657041,2020,24,36,40,1,2,0,1,13,4,32.5,10,".111",".250",".200","0.450","0.139",".136","0","0","0","0","0",".203","28.3"
"Casali, Curt",592200,2020,31,76,93,8,3,0,6,29,14,31.2,15.1,".224",".500",".366","0.866","0.276",".268","0","2","3","0","0",".372","24.1"
"Encarnación, Edwin",429665,2020,37,159,181,10,5,0,10,54,16,29.8,8.8,".157",".377",".250","0.627","0.220",".156","0","0","4","0","1",".272","25.3"
"Bemboom, Anthony",621532,2020,30,48,60,6,1,0,3,13,7,21.7,11.7,".208",".417",".328","0.745","0.209",".212","1","0","2","0","1",".324","26.4"
"Gurriel Jr., Lourdes",666971,2020,26,208,224,39,14,0,11,48,14,21.4,6.3,".308",".534",".348","0.882","0.226",".351","1","3","0","0","2",".372","26.3"
"Hernandez, Yadiel",628450,2020,32,26,28,1,3,0,1,12,1,42.9,3.6,".192",".423",".214","0.637","0.231",".286","0","0","0","0","1",".260","25.1"
"Sogard, Eric",519299,2020,34,115,128,18,5,0,1,20,11,15.6,8.6,".209",".278",".281","0.559","0.069",".242","0","0","1","0","1",".254","25.8"
"Contreras, William",661388,2020,22,10,10,3,1,0,0,4,0,40,0,".400",".500",".400","0.900","0.100",".667","0","0","0","0","0",".389",
"Engel, Adam",641553,2020,28,88,93,17,5,1,3,19,3,20.4,3.2,".295",".477",".333","0.810","0.182",".348","0","1","2","0","0",".347","30.2"
